school_id,school,city,countystate_territory,african_american_adm,african_american_app,african_american_enr,american_indian_adm,american_indian_app,american_indian_enr,asian_adm,asian_app,asian_enr,domestic_unknown_adm,domestic_unknown_app,domestic_unknown_enr,hispanic_latinx_adm,hispanic_latinx_app,hispanic_latinx_enr,intl_adm,intl_app,intl_enr,pacific_islander_adm,pacific_islander_app,pacific_islander_enr,white_adm,white_app,white_enr,total_applied,total_accepted,total_enrolled
54221,CALIFORNIA VIRTUAL-SAN JOAQUIN,Simi Valley,Ventura,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0
54223,PUBLIC SAFETY ACADEMY,San Bernardino,San Bernardino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,3.0
54225,WEST ADAMS PREPARATORY HS,Los Angeles,Los Angeles,5.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,75.0,97.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,83.0,27.0
54231,KIPP KING COLLEGIATE HIGH SCH,San Lorenzo,Alameda,6.0,11.0,3.0,0.0,0.0,0.0,41.0,42.0,27.0,0.0,0.0,0.0,32.0,40.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,93.0,82.0,40.0
54232,OAKLAND INTERNATIONAL HIGH SCH,Oakland,Alameda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,12.0,3.0
54238,ANIMO PAT BROWN CHARTER HS,Los Angeles,Los Angeles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,93.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,87.0,27.0
54241,RIVERSIDE PREPARATORY,Oro Grande,San Bernardino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,23.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,15.0,9.0
54242,INDEPENDENCE HIGH SCHOOL,Bakersfield,Kern,3.0,0.0,0.0,0.0,0.0,0.0,10.0,15.0,8.0,0.0,0.0,0.0,23.0,34.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,49.0,39.0,12.0
54243,SCHOOL VISUAL ARTS HUMANITIES,Los Angeles,Los Angeles,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,22.0,25.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,10.0
54244,SCHOOL OF EXTENDED EDU OPTIONS,Pomona,Los Angeles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
54245,UNIVERSITY PREP ACADEMY,San Jose,Santa Clara,17.0,18.0,8.0,0.0,0.0,0.0,32.0,37.0,17.0,0.0,0.0,0.0,4.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,6.0,71.0,59.0,34.0
54247,ACADEMIA AVANCE CHARTER SCHOOL,Los Angeles,Los Angeles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,9.0,0.0
54248,MISSION OAK HIGH SCHOOL,Tulare,Tulare,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,43.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,49.0,40.0,10.0
54249,HELEN BERNSTEIN HIGH SCHOOL,Hollywood,Los Angeles,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,29.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,23.0,4.0
54250,ANTELOPE HIGH SCHOOL,Antelope,Sacramento,9.0,16.0,5.0,0.0,0.0,0.0,29.0,41.0,18.0,0.0,0.0,0.0,13.0,23.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,23.0,8.0,103.0,68.0,35.0
54254,ACADEMIC LEADERSHIP COMMUNITY,Los Angeles,Los Angeles,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,38.0,52.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,41.0,9.0
54255,IMPACT ACAD ARTS/TECHNOLOGY,Hayward,Alameda,0.0,0.0,0.0,0.0,0.0,0.0,11.0,12.0,4.0,0.0,0.0,0.0,20.0,32.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,44.0,34.0,14.0
54258,ARISE HIGH SCHOOL,Oakland,Alameda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,42.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,22.0,7.0
54259,ANIMO RALPH BUNCHE CHARTER HS,Los Angeles,Los Angeles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,42.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,29.0,11.0
54260,ASPIRE GOLDEN STATE PREP ACADEMY,Oakland,Alameda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,28.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,14.0,3.0
54267,LATHROP HIGH SCHOOL,Lathrop,San Joaquin,0.0,5.0,0.0,0.0,0.0,0.0,29.0,35.0,15.0,0.0,0.0,0.0,18.0,22.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,47.0,22.0
54270,CALIFORNIA VIRTUAL ACAD SAN DIEGO,Simi Valley,Ventura,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,4.0,6.0,5.0,4.0
54271,CALIFORNIA VIRTUAL ACADEMY LA,Simi Valley,Ventura,3.0,10.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0,0.0,0.0,0.0,11.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,41.0,23.0,4.0
54272,CALIFORNIA VIRTUAL ACAD SUTTER,Simi Valley,Ventura,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
