school_id,school,city,countystate_territory,university,african_american_adm,african_american_app,african_american_enr,american_indian_adm,american_indian_app,asian_adm,asian_app,asian_enr,domestic_unknown_adm,domestic_unknown_app,domestic_unknown_enr,hispanic_latinx_adm,hispanic_latinx_app,hispanic_latinx_enr,intl_adm,intl_app,pacific_islander_app,white_adm,white_app,white_enr,total_applied,total_accepted,total_enrolled,pct_accepted,pct_enrolled
51687,ANIMO RALPH BUNCHE CHARTER HS,Los Angeles,Los Angeles,Davis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
51697,NORTHVIEW HIGH SCHOOL,Covina,Los Angeles,Berkeley,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,3.0,0.0,15.79,0.0
51702,EDGEWOOD HIGH SCHOOL,West Covina,Los Angeles,Berkeley,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0
51705,ARTESIA HIGH SCHOOL,Lakewood,Los Angeles,Davis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,37.5,0.0
51707,SIMI VALLEY HIGH SCHOOL,Simi Valley,Ventura,Berkeley,0.0,0.0,0.0,0.0,0.0,5.0,18.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,34.0,5.0,0.0,14.71,0.0
51719,GRANITE BAY HIGH SCHOOL,Granite Bay,Placer,Berkeley,0.0,0.0,0.0,0.0,0.0,8.0,39.0,7.0,4.0,9.0,3.0,0.0,11.0,0.0,0.0,0.0,0.0,12.0,37.0,8.0,96.0,24.0,18.0,25.0,18.75
51722,MURRIETA VALLEY HIGH SCHOOL,Murrieta,Riverside,Berkeley,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,18.0,0.0,0.0,0.0,0.0
51728,ALTA LOMA HIGH SCHOOL,Alta Loma,San Bernardino,Davis,0.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,26.0,9.0,0.0,34.62,0.0
51735,MONROVIA HIGH SCHOOL,Monrovia,Los Angeles,Berkeley,0.0,5.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,42.0,0.0,0.0,0.0,0.0
51746,MAGNOLIA SCIENCE ACADEMY,Reseda,Los Angeles,Berkeley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
51747,GABRIELINO HIGH SCHOOL,San Gabriel,Los Angeles,Berkeley,0.0,0.0,0.0,0.0,0.0,6.0,95.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,6.0,0.0,5.61,0.0
