school_,city_,countystate_territory_,african_american_adm,african_american_app,african_american_enr,american_indian_adm,american_indian_app,american_indian_enr,asian_adm,asian_app,asian_enr,domestic_unknown_adm,domestic_unknown_app,domestic_unknown_enr,hispanic_latinx_adm,hispanic_latinx_app,hispanic_latinx_enr,intl_adm,intl_app,intl_enr,pacific_islander_adm,pacific_islander_app,pacific_islander_enr,white_adm,white_app,white_enr,total_applied,total_accepted,total_enrolled,pct_accepted,pct_enrolled
CAMPOLINDO HIGH SCHOOL,Moraga,Contra Costa,5.0,5.0,0.0,0.0,0.0,0.0,48.0,57.0,23.0,8.0,9.0,3.0,18.0,26.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,101.0,28.0,198.0,149.0,61.0,75.25,30.81
CANOGA PARK HIGH SCHOOL,Canoga Park,Los Angeles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,58.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,58.0,37.0,9.0,63.79,15.52
CANYON CREST ACADEMY,San Diego,San Diego,0.0,0.0,0.0,0.0,0.0,0.0,180.0,217.0,60.0,34.0,43.0,13.0,29.0,42.0,16.0,5.0,5.0,3.0,0.0,0.0,0.0,82.0,125.0,28.0,432.0,330.0,120.0,76.39,27.78
CANYON HIGH SCHOOL,Anaheim,Orange,6.0,8.0,3.0,0.0,0.0,0.0,83.0,98.0,51.0,11.0,11.0,7.0,29.0,52.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,66.0,14.0,235.0,160.0,88.0,68.09,37.45
CANYON HIGH SCHOOL,Canyon Country,Los Angeles,4.0,8.0,0.0,0.0,0.0,0.0,12.0,17.0,9.0,0.0,5.0,0.0,34.0,42.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,15.0,5.0,87.0,61.0,30.0,70.11,34.48
CANYON HILLS HIGH SCHOOL,San Diego,San Diego,5.0,9.0,0.0,0.0,0.0,0.0,27.0,40.0,18.0,0.0,0.0,0.0,21.0,34.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,19.0,9.0,102.0,69.0,36.0,67.65,35.29
CANYON SPRINGS HIGH SCHOOL,Moreno Valley,Riverside,14.0,26.0,6.0,0.0,0.0,0.0,13.0,13.0,9.0,0.0,0.0,0.0,68.0,107.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,15.0,0.0,161.0,107.0,44.0,66.46,27.33
CAPISTRANO VALLEY HIGH SCHOOL,Mission Viejo,Orange,3.0,5.0,0.0,0.0,0.0,0.0,27.0,39.0,18.0,3.0,0.0,0.0,21.0,39.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,67.0,22.0,150.0,92.0,50.0,61.33,33.33
CAPUCHINO HIGH SCHOOL,San Bruno,San Mateo,3.0,6.0,0.0,0.0,0.0,0.0,30.0,43.0,20.0,0.0,0.0,0.0,18.0,29.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,13.0,0.0,91.0,60.0,28.0,65.93,30.77
CARLMONT HIGH SCHOOL,Belmont,San Mateo,6.0,7.0,0.0,0.0,0.0,0.0,139.0,168.0,74.0,27.0,32.0,13.0,17.0,34.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,122.0,39.0,363.0,278.0,132.0,76.58,36.36
CARLSBAD HIGH SCHOOL,Carlsbad,San Diego,0.0,6.0,0.0,5.0,6.0,3.0,14.0,21.0,7.0,4.0,7.0,0.0,18.0,30.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,98.0,24.0,168.0,100.0,42.0,59.52,25.0
CARMEL HIGH SCHOOL,Carmel,Monterey,0.0,5.0,0.0,0.0,0.0,0.0,7.0,9.0,4.0,0.0,0.0,0.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,30.0,7.0,58.0,32.0,11.0,55.17,18.97
CARPINTERIA HIGH SCHOOL,Carpinteria,Santa Barbara,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,23.0,43.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,3.0,58.0,35.0,9.0,60.34,15.52
CARSON HIGH SCHOOL,Carson,Los Angeles,8.0,14.0,3.0,0.0,0.0,0.0,12.0,21.0,5.0,0.0,0.0,0.0,27.0,38.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,47.0,17.0,64.38,23.29
CARUTHERS HIGH SCHOOL,Caruthers,Fresno,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,36.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,36.0,34.0,14.0,94.44,38.89
CASA GRANDE HIGH SCHOOL,Petaluma,Sonoma,0.0,0.0,0.0,0.0,0.0,0.0,14.0,21.0,8.0,0.0,0.0,0.0,20.0,26.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,42.0,13.0,89.0,61.0,28.0,68.54,31.46
CASA ROBLE FUNDAMENTAL HS,Orangevale,Sacramento,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,21.0,3.0,27.0,24.0,6.0,88.89,22.22
CASTAIC HIGH SCHOOL,Castaic,Los Angeles,3.0,7.0,0.0,0.0,0.0,0.0,10.0,15.0,7.0,0.0,0.0,0.0,11.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,12.0,5.0,49.0,32.0,18.0,65.31,36.73
CASTLE PARK HIGH SCHOOL,Chula Vista,San Diego,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,52.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,57.0,43.0,18.0,75.44,31.58
CASTLEMONT HIGH SCHOOL,Oakland,Alameda,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,17.0,4.0,89.47,21.05
CASTRO VALLEY HIGH SCHOOL,Castro Valley,Alameda,11.0,19.0,6.0,0.0,0.0,0.0,115.0,164.0,66.0,11.0,16.0,6.0,34.0,52.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,74.0,23.0,325.0,219.0,117.0,67.38,36.0
CATCH PREP CHARTER HIGH,Los Angeles,Los Angeles,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,12.0,4.0,85.71,28.57
CATHEDRAL CITY HIGH SCHOOL,Cathedral City,Riverside,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,50.0,66.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,4.0,79.0,59.0,23.0,74.68,29.11
CEIBA COLLEGE PREPARATORY ACAD,Watsonville,Santa Cruz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,11.0,5.0,78.57,35.71
CENTENNIAL HIGH SCHOOL,Bakersfield,Kern,0.0,0.0,0.0,0.0,0.0,0.0,11.0,15.0,7.0,4.0,0.0,0.0,16.0,25.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,17.0,5.0,57.0,43.0,19.0,75.44,33.33
CENTENNIAL HIGH SCHOOL,Compton,Los Angeles,9.0,16.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,42.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,37.0,15.0,63.79,25.86
CENTENNIAL HIGH SCHOOL,Corona,Riverside,16.0,20.0,7.0,0.0,0.0,0.0,70.0,77.0,56.0,4.0,0.0,0.0,67.0,81.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,15.0,6.0,193.0,167.0,104.0,86.53,53.89
CENTER HIGH SCHOOL,Antelope,Sacramento,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,3.0,0.0,0.0,0.0,5.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,0.0,25.0,17.0,7.0,68.0,28.0
CENTRAL CITY VALUE HIGH SCHOOL,Los Angeles,Los Angeles,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,28.0,30.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,31.0,4.0,103.33,13.33
CENTRAL COAST NEW TECH HIGH SC,Nipomo,San Luis Obispo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,14.0,7.0,0.0,50.0,0.0
CENTRAL EAST HIGH SCHOOL,Fresno,Fresno,8.0,10.0,3.0,0.0,0.0,0.0,7.0,10.0,0.0,0.0,0.0,0.0,20.0,25.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,35.0,7.0,77.78,15.56
CENTRAL HIGH SCHOOL,Fresno,Fresno,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,6.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,13.0,3.0,92.86,21.43
CENTRAL UNION HIGH SCHOOL,El Centro,Imperial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,49.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,36.0,23.0,73.47,46.94
CENTRAL VALLEY HIGH SCHOOL,Ceres,Stanislaus,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,6.0,0.0,0.0,0.0,52.0,56.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,62.0,36.0,93.94,54.55
CENTRAL VALLEY HIGH SCHOOL,Shasta Lake,Shasta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,3.0,5.0,4.0,3.0,80.0,60.0
CENTURY HIGH SCHOOL,Santa Ana,Orange,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,44.0,53.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,47.0,19.0,88.68,35.85
CERES HIGH SCHOOL,Ceres,Stanislaus,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,4.0,0.0,0.0,0.0,43.0,48.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,62.0,55.0,20.0,88.71,32.26
CERRITOS HIGH SCHOOL,Cerritos,Los Angeles,13.0,23.0,5.0,0.0,0.0,0.0,130.0,188.0,77.0,4.0,5.0,4.0,22.0,42.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,4.0,264.0,174.0,100.0,65.91,37.88
