school_id,school,city,countystate_territory,african_american_adm,african_american_app,african_american_enr,american_indian_adm,american_indian_app,american_indian_enr,asian_adm,asian_app,asian_enr,domestic_unknown_adm,domestic_unknown_app,domestic_unknown_enr,hispanic_latinx_adm,hispanic_latinx_app,hispanic_latinx_enr,intl_adm,intl_app,intl_enr,pacific_islander_adm,pacific_islander_app,pacific_islander_enr,white_adm,white_app,white_enr,total_applied,total_accepted,total_enrolled,pct_accepted,pct_enrolled
50650,CENTENNIAL HIGH SCHOOL,Compton,Los Angeles,9.0,16.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,42.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,37.0,15.0,63.79,25.86
50651,COMPTON SENIOR HIGH SCHOOL,Compton,Los Angeles,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,66.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,53.0,8.0,70.67,10.67
50652,DOMINGUEZ SENIOR HIGH SCHOOL,Compton,Los Angeles,6.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,87.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,78.0,27.0,82.11,28.42
50657,CONCORD HIGH SCHOOL,Concord,Contra Costa,4.0,5.0,0.0,0.0,0.0,0.0,7.0,7.0,3.0,0.0,0.0,0.0,7.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,15.0,3.0,40.0,27.0,6.0,67.5,15.0
50658,CLAYTON VALLEY HIGH SCHOOL,Concord,Contra Costa,12.0,17.0,4.0,0.0,0.0,0.0,39.0,59.0,21.0,4.0,5.0,3.0,21.0,33.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,56.0,13.0,170.0,100.0,48.0,58.82,28.24
50659,COLLEGE PARK HIGH SCHOOL,Pleasant Hill,Contra Costa,4.0,10.0,0.0,0.0,0.0,0.0,30.0,45.0,21.0,5.0,6.0,4.0,22.0,33.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,49.0,13.0,143.0,93.0,48.0,65.03,33.57
50660,MOUNT DIABLO HIGH SCHOOL,Concord,Contra Costa,0.0,0.0,0.0,0.0,0.0,0.0,11.0,15.0,8.0,0.0,0.0,0.0,17.0,26.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,28.0,18.0,68.29,43.9
50663,YGNACIO VALLEY HIGH SCHOOL,Concord,Contra Costa,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,22.0,35.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,40.0,28.0,9.0,70.0,22.5
50665,CORCORAN HIGH SCHOOL,Corcoran,Kings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,22.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,14.0,6.0,63.64,27.27
50666,NORTHGATE HIGH SCHOOL,Walnut Creek,Contra Costa,6.0,7.0,4.0,0.0,0.0,0.0,53.0,71.0,30.0,3.0,5.0,0.0,16.0,26.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,75.0,16.0,184.0,123.0,55.0,66.85,29.89
50670,CORNING UNION HIGH SCHOOL,Corning,Tehama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
50675,CORONA HIGH SCHOOL,Corona,Riverside,3.0,5.0,0.0,0.0,0.0,0.0,7.0,10.0,4.0,0.0,0.0,0.0,57.0,79.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,0.0,105.0,72.0,18.0,68.57,17.14
50676,CENTENNIAL HIGH SCHOOL,Corona,Riverside,16.0,20.0,7.0,0.0,0.0,0.0,70.0,77.0,56.0,4.0,0.0,0.0,67.0,81.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,15.0,6.0,193.0,167.0,104.0,86.53,53.89
50680,CORONADO HIGH SCHOOL,Coronado,San Diego,0.0,5.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0,9.0,11.0,0.0,21.0,37.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,52.0,8.0,115.0,68.0,13.0,59.13,11.3
50683,COSTA MESA HIGH SCHOOL,Costa Mesa,Orange,0.0,0.0,0.0,0.0,0.0,0.0,13.0,14.0,9.0,0.0,0.0,0.0,11.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,13.0,4.0,41.0,33.0,17.0,80.49,41.46
50684,ESTANCIA HIGH SCHOOL,Costa Mesa,Orange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,31.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,12.0,6.0,43.0,31.0,16.0,72.09,37.21
50685,CITY HEIGHTS PREP CHARTER SCHL,San Diego,San Diego,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,10.0,0.0,0.0,0.0,0.0
50688,WEST VALLEY HIGH SCHOOL,Cottonwood,Shasta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,3.0,9.0,6.0,3.0,66.67,33.33
50692,SANTIAGO HIGH SCHOOL,Corona,Riverside,17.0,23.0,9.0,0.0,0.0,0.0,55.0,63.0,34.0,0.0,0.0,0.0,54.0,75.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,60.0,19.0,221.0,170.0,86.0,76.92,38.91
50693,CHARTER OAK HIGH SCHOOL,Covina,Los Angeles,0.0,0.0,0.0,0.0,0.0,0.0,8.0,16.0,5.0,0.0,0.0,0.0,19.0,34.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,55.0,27.0,13.0,49.09,23.64
50697,ELIZABETH LEARNING CENTER,Cudahy,Los Angeles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,40.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,22.0,4.0,55.0,10.0
50700,COVINA HIGH SCHOOL,Covina,Los Angeles,3.0,5.0,0.0,0.0,0.0,0.0,13.0,20.0,7.0,0.0,0.0,0.0,25.0,41.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,41.0,11.0,62.12,16.67
50703,NORTHVIEW HIGH SCHOOL,Covina,Los Angeles,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,0.0,0.0,0.0,0.0,36.0,58.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,43.0,13.0,64.18,19.4
50704,SOUTH HILLS HIGH SCHOOL,West Covina,Los Angeles,4.0,5.0,0.0,0.0,0.0,0.0,20.0,25.0,13.0,0.0,0.0,0.0,48.0,75.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,110.0,76.0,29.0,69.09,26.36
50705,DEL NORTE COUNTY HIGH SCHOOL,Crescent City,Del Norte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,9.0,3.0,180.0,60.0
50710,JOHN SWETT HIGH SCHOOL,Crockett,Contra Costa,0.0,0.0,0.0,0.0,0.0,0.0,9.0,13.0,5.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0,5.0,72.22,27.78
50711,SILVER VALLEY HIGH SCHOOL,Yermo,San Bernardino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,80.0,0.0
